ticket_id,created_date,priority,category,customer_segment,customer_name,subject,description,resolution_status,time_to_resolve_hours,agent_notes
TK-1201,2026-02-03,high,bug,enterprise,Meridian Corp,"Dashboard won't load for accounts with 50+ projects","When I log in, the dashboard spinner runs for 3+ minutes and then shows a timeout error. This only started happening after we crossed 50 active projects. My team of 12 relies on the dashboard view every morning. We've had to start using spreadsheets as a workaround.",resolved,48,"Performance issue confirmed. Pagination wasn't applied to project list query. Fix deployed Feb 5."
TK-1202,2026-02-04,critical,feature_request,enterprise,Meridian Corp,"SSO/SAML support - BLOCKING renewal","Our security team has mandated that all SaaS tools must support SAML SSO by Q2. Without this, we cannot renew our contract. We have 87 users and this is a dealbreaker. Please escalate. Our renewal is up in April.",open,0,"Escalated to product team. No SSO on current roadmap. Customer paying $4,200/mo."
TK-1203,2026-02-05,medium,bug,mid_market,GreenPath Studios,"Notifications settings don't actually change anything","I went into settings and turned off email notifications for task assignments. I'm still getting them. Tried 3 different browsers. Cleared cache. Nothing works. Getting 30-40 notification emails per day.",resolved,72,"Known UI bug -- toggle saves to frontend state but doesn't persist to backend. Workaround: use API to update preferences. Fix scheduled for March release."
TK-1204,2026-02-06,low,feature_request,startup,IndieTrack,"Would love recurring tasks","I create the same weekly report task every Monday morning. It would save me 5 minutes a week if I could just set it to recur. Not urgent but would be a nice QOL improvement.",closed,2,"Logged as feature request. Recurring tasks on backlog, no timeline."
TK-1205,2026-02-07,high,bug,mid_market,Apex Marketing,"PDF export broken - shows blank pages","Exporting any project to PDF results in blank pages. This has been broken for at least 3 weeks. We use PDF exports for client reporting every Friday. Right now we're screenshotting everything manually. This is embarrassing when sending to clients.",resolved,96,"Rendering library updated in Feb release broke PDF generation. Rolled back to previous version. Fix deployed Feb 11."
TK-1206,2026-02-10,medium,ux,startup,LaunchPad Co,"Onboarding assumes too much knowledge","I just signed up and the onboarding flow assumes I know what a 'sprint' and 'backlog' are. I'm a designer, not a PM. I almost gave up during setup because I didn't understand the terminology. Can you add plain-English explanations?",closed,1,"Forwarded to product/design team. Onboarding redesign is on Q2 roadmap."
TK-1207,2026-02-11,critical,bug,enterprise,NovaTech Industries,"Accidentally deleted project - no recovery option","One of our team leads accidentally deleted a project with 3 months of work. There is no trash, no archive, no undo. The delete confirmation dialog is a small modal that's easy to miss. This is a serious data safety issue. We need this recovered ASAP.",resolved,24,"Database team recovered project from backup. Added to critical backlog: implement soft delete with 30-day recovery window."
TK-1208,2026-02-12,medium,feature_request,enterprise,Pinnacle Group,"Need role-based access controls","We have 95 users across 6 departments. Right now everyone can see and edit everything. We need admin roles, viewer roles, and department-level permissions. Our IT security team flagged this as a compliance gap.",open,0,"RBAC on roadmap for Q3. Customer is enterprise tier, $3,800/mo."
TK-1209,2026-02-13,low,integration,mid_market,BrightWave Digital,"Google Calendar sync only goes one way","If I change a task deadline in TaskFlow, it updates my Google Calendar. But if I move the event in Google Calendar, nothing happens in TaskFlow. This causes constant confusion about actual deadlines.",open,0,"Known limitation. Two-way calendar sync requires webhook infrastructure. On backlog."
TK-1210,2026-02-14,high,bug,mid_market,Apex Marketing,"Billing shows wrong seat count - overcharged","We have 24 active users but our invoice shows 28 seats. This has happened 2 months in a row. Previous ticket TK-1089 was supposed to fix this but it's happening again. Please credit our account.",resolved,8,"Billing system counts deactivated users for 30 days after deactivation. 4 users were deactivated in January. Credited $60. Updated billing FAQ."
